"","lambda","mu","nu","q","seed","crown_age","cond","site_model","clock_model","tree_prior","gen_model","best_or_gen","nltt_1","nltt_2","nltt_3","nltt_4"
"63",0.2,0,2,0.15,2,6,1,"JC69","strict","birth_death","bd","gen",0.210526122839867,0.258219101067283,0.217310567586175,0.19963350769341
"64",0.2,0,2,0.15,2,6,1,"JC69","strict","birth_death","mbd","gen",0.188247600120569,0.241184597547536,0.219467377991737,0.23537512604784
"65",0.2,0,2,0.2,1,6,1,"JC69","strict","yule","bd","best",0.126999586005652,0.183390097433735,0.13139710653743,0.130231812784783
"66",0.2,0,2,0.2,1,6,1,"JC69","strict","yule","mbd","best",0.0979114583544286,0.176026883496269,0.170547209014716,0.159580935065142
"67",0.2,0,2,0.2,1,6,1,"JC69","strict","birth_death","bd","gen",0.126999586005652,0.212470784879865,0.213025171461401,0.217195021725738
"68",0.2,0,2,0.2,1,6,1,"JC69","strict","birth_death","mbd","gen",0.0979114583544286,0.162912299263696,0.171317795259553,0.150525198488226
"69",0.2,0,2,0.2,2,6,1,"JC69","strict","birth_death","bd","best",0.19388834942153,0.237996319840484,0.230301849654127,0.235412617299676
"70",0.2,0,2,0.2,2,6,1,"JC69","strict","yule","mbd","best",0.180594654884591,0.188693468774902,0.165976967064394,0.127454792875166
"71",0.2,0,2,0.2,2,6,1,"JC69","strict","birth_death","bd","gen",0.19388834942153,0.223797058461835,0.23288588072125,0.226024248800002
"72",0.2,0,2,0.2,2,6,1,"JC69","strict","birth_death","mbd","gen",0.180594654884591,0.248423071392826,0.250167897184348,0.250004817921446
"73",0.2,0,2.5,0.1,1,6,1,"GTR","strict","birth_death","bd","best",0.195880668479168,0.250698933728685,0.265004347839474,0.255967937866775
"74",0.2,0,2.5,0.1,1,6,1,"JC69","strict","birth_death","mbd","best",0.176023524238526,0.196986019316945,0.189163150729972,0.226174568220746
"75",0.2,0,2.5,0.1,1,6,1,"JC69","strict","birth_death","bd","gen",0.195880668479168,0.251271417689371,0.244320991717199,0.2360226486632
"76",0.2,0,2.5,0.1,1,6,1,"JC69","strict","birth_death","mbd","gen",0.176023524238526,0.208019632048868,0.181791480299231,0.16585372975282
"77",0.2,0,2.5,0.1,2,6,1,"JC69","strict","yule","bd","best",0.266502898727214,0.27032843148485,0.268167995048659,0.263668942924132
"78",0.2,0,2.5,0.1,2,6,1,"GTR","strict","birth_death","mbd","best",0.231295510853651,0.194236087840523,0.176700151765524,0.179515541002025
"79",0.2,0,2.5,0.1,2,6,1,"JC69","strict","birth_death","bd","gen",0.266502898727214,0.263954428612523,0.254292548985184,0.260566247184042
"80",0.2,0,2.5,0.1,2,6,1,"JC69","strict","birth_death","mbd","gen",0.231295510853651,0.195470523173208,0.17338562854998,0.171291534534343
"81",0.2,0,2.5,0.15,1,6,1,"JC69","strict","yule","bd","best",0.196327812330821,0.213201151821629,0.210747224032616,0.20474297563048
"82",0.2,0,2.5,0.15,1,6,1,"JC69","strict","yule","mbd","best",0.199610868563856,0.191058472418565,0.182940758867036,0.180314906345906
"83",0.2,0,2.5,0.15,1,6,1,"JC69","strict","birth_death","bd","gen",0.196327812330821,0.195147459207148,0.187656552819829,0.183204891334494
"84",0.2,0,2.5,0.15,1,6,1,"JC69","strict","birth_death","mbd","gen",0.199610868563856,0.179714990895696,0.185088832072578,0.183930367116761
"85",0.2,0,2.5,0.15,2,6,1,"JC69","strict","birth_death","bd","best",0.0969758095143728,0.128486454374645,0.129636122771989,0.125933117906323
"86",0.2,0,2.5,0.15,2,6,1,"GTR","strict","birth_death","mbd","best",0.106212516208777,0.148523955481517,0.146463635478673,0.146489372465988
"87",0.2,0,2.5,0.15,2,6,1,"JC69","strict","birth_death","bd","gen",0.0969758095143728,0.136548245801337,0.140965937801527,0.132681190702515
"88",0.2,0,2.5,0.15,2,6,1,"JC69","strict","birth_death","mbd","gen",0.106212516208777,0.0846487700940132,0.0886290149401907,0.0928899450452562
"89",0.2,0,2.5,0.2,1,6,1,"JC69","strict","birth_death","bd","best",0.228401990999578,0.228495352066277,0.227510397688481,0.226919968983565
"90",0.2,0,2.5,0.2,1,6,1,"JC69","strict","yule","mbd","best",0.21996232625127,0.213654262324419,0.211354597536033,0.211988109822909
"91",0.2,0,2.5,0.2,1,6,1,"JC69","strict","birth_death","bd","gen",0.228401990999578,0.221318526414382,0.225302896017878,0.223173717823659
"92",0.2,0,2.5,0.2,1,6,1,"JC69","strict","birth_death","mbd","gen",0.21996232625127,0.209633033679628,0.206843042549694,0.205988943305458
"93",0.2,0,2.5,0.2,2,6,1,"JC69","strict","birth_death","bd","best",0.170362971794818,0.173221984904209,0.175812566280483,0.171155063460662
"94",0.2,0,2.5,0.2,2,6,1,"JC69","strict","yule","mbd","best",0.16380071247383,0.175937583799037,0.17578988229089,0.182087951801527
"95",0.2,0,2.5,0.2,2,6,1,"JC69","strict","birth_death","bd","gen",0.170362971794818,0.203129524191171,0.200199575994378,0.191359822903711
"96",0.2,0,2.5,0.2,2,6,1,"JC69","strict","birth_death","mbd","gen",0.16380071247383,0.145850744510947,0.147010602878193,0.135672571186211
"97",0.2,0.15,1,0.1,1,6,1,"JC69","strict","yule","bd","best",0.0439855143311955,0.0795016055155013,0.0435570160662081,0.0453239483748239
"98",0.2,0.15,1,0.1,1,6,1,"GTR","strict","birth_death","mbd","best",0.0342726202060027,0.0811679623264318,0.0902096896170017,0.176836232969355
"99",0.2,0.15,1,0.1,1,6,1,"JC69","strict","birth_death","bd","gen",0.0540311407615582,0.0819464339925054,0.0791625445976136,0.111838959045159
"100",0.2,0.15,1,0.1,1,6,1,"JC69","strict","birth_death","mbd","gen",0.0342726202060027,0.0945151653199044,0.0858772149516243,0.0861374151260204
"101",0.2,0.15,1,0.1,2,6,1,"JC69","strict","birth_death","bd","best",0.233256344202073,0.284279345858796,0.253973707419347,0.247845511194171
"102",0.2,0.15,1,0.1,2,6,1,"JC69","strict","yule","mbd","best",0.0925697537796994,0.113637716253064,0.0523111091518905,0.146399479966599
"103",0.2,0.15,1,0.1,2,6,1,"JC69","strict","birth_death","bd","gen",0.233256344202073,0.293055245072197,0.320314799361481,0.306032961832188
"104",0.2,0.15,1,0.1,2,6,1,"JC69","strict","birth_death","mbd","gen",0.0925697537796994,0.145931771322292,0.168037328913271,0.166828758607663
"105",0.2,0.15,1,0.15,1,6,1,"GTR","strict","birth_death","bd","best",0.217595644965629,0.256055552169658,0.234079004894261,0.206044909863522
"106",0.2,0.15,1,0.15,1,6,1,"JC69","strict","yule","mbd","best",0.171410586211439,0.237090510888238,0.206016962452987,0.199239108721095
"107",0.2,0.15,1,0.15,1,6,1,"JC69","strict","birth_death","bd","gen",0.217595644965629,0.201456721533963,0.145699263673206,0.100940826182222
"108",0.2,0.15,1,0.15,1,6,1,"JC69","strict","birth_death","mbd","gen",0.171410586211439,0.185860784748587,0.135172129959138,0.0899185950492002
"109",0.2,0.15,1,0.15,2,6,1,"GTR","strict","birth_death","bd","best",0.0792746423995075,0.163948470666362,0.125110731858551,0.154103206174561
"110",0.2,0.15,1,0.15,2,6,1,"GTR","strict","birth_death","mbd","best",0.0875119223995075,0.0592974971944994,0.145659647038343,0.184271479598821
"111",0.2,0.15,1,0.15,2,6,1,"JC69","strict","birth_death","bd","gen",0.0792746423995075,0.185299268845553,0.19148351777453,0.170553800111351
"112",0.2,0.15,1,0.15,2,6,1,"JC69","strict","birth_death","mbd","gen",0.0875119223995075,0.178777527902947,0.0904674685084153,0.128741403109417
"113",0.2,0.15,1,0.2,1,6,1,"GTR","strict","birth_death","bd","best",0.146088224982128,0.194184004514445,0.19723031081409,0.196699119931986
"114",0.2,0.15,1,0.2,1,6,1,"GTR","strict","birth_death","mbd","best",0.155282199081227,0.17551706780163,0.150927626200581,0.133941409906917
"115",0.2,0.15,1,0.2,1,6,1,"JC69","strict","birth_death","bd","gen",0.146088224982128,0.192831379690719,0.187141784984675,0.194491724049193
