"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file51e34130376a"	"TreeHeight"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"11"	10	-687.956129833808	-725.629060340813	-687.956129833808	-37.6729305070044	-687.956129833808	15.0070332768974	0.0615228738961089	0.109935808474383	0.0590135645541366	3.79109707465813e-05	0.103942974809077	-19.6779906018592	0.0994761510333656	0.580260298682244	-18.7446752121162	15.0070332768974
"12"	11	-666.353558768079	-705.779198963897	-666.353558768079	-39.4256401958178	-666.353558768079	15.0070332768974	0.0652994701472903	0.245108201249552	0.0555518643691693	0.000136251130847965	0.200460076956938	-20.7076030490227	0.0789873522865768	0.631987656845675	-18.7446752121162	15.0070332768974
"13"	12	-660.675893363789	-698.431036146421	-660.675893363789	-37.755142782632	-660.675893363789	15.0070332768974	0.100969571377115	0.237893836302109	0.111492123924679	0.000696974382379863	0.268745741326572	-19.0697509148612	0.0495576296921761	0.740394907180363	-18.7446752121162	15.0070332768974
"14"	13	-660.004969826757	-700.542689002227	-660.004969826757	-40.5377191754691	-660.004969826757	15.0070332768974	0.12233357349281	0.993182695958474	0.0913166220658051	0.00819367779390194	0.941172073701959	-19.2166605213901	0.0800162990944671	0.596076416211517	-18.7446752121162	15.0070332768974
"15"	14	-654.721110425129	-697.309825238942	-654.721110425129	-42.5887148138131	-654.721110425129	15.0070332768974	0.0888374890626088	1.03433612842624	0.0517374694613097	0.0026756314983424	0.974047107096146	-21.1412040059245	0.0937001165157814	0.59000884096817	-18.7446752121162	15.0070332768974
"16"	15	-654.39190163235	-694.359316741502	-654.39190163235	-39.9674151091519	-654.39190163235	15.0070332768974	0.0630714797881195	0.492609450410819	0.070733586684973	0.00110630335025643	0.507858606699183	-20.2799322893168	0.117988237855698	0.453480996488348	-18.7446752121162	15.0070332768974
"17"	16	-652.980235796211	-692.402485472271	-652.980235796211	-39.4222496760604	-652.980235796211	15.0070332768974	0.0551149514414828	0.173219562069472	0.0565206388157439	7.65161515520104e-05	0.150217516291459	-21.0522751328487	0.0628793965110204	0.514726039496729	-18.7446752121162	15.0070332768974
"18"	17	-651.708099657625	-693.585123196197	-651.708099657625	-41.8770235385718	-651.708099657625	15.0070332768974	0.0465436774617581	0.159953301864853	0.0517680241617354	8.39486476865479e-05	0.183949507977362	-23.5784702817182	0.233661788553087	0.20985609648221	-18.7446752121162	15.0070332768974
"19"	18	-650.353664320908	-692.825597600691	-650.353664320908	-42.4719332797826	-650.353664320908	15.0070332768974	0.0621185391453911	0.815837491120257	0.0860244831923149	0.00286754656800766	0.792216849487515	-21.7058110792984	0.213453329043737	0.372870827814349	-18.7446752121162	15.0070332768974
"20"	19	-647.193613452163	-664.041868505983	-647.193613452163	-16.8482550538202	-647.193613452163	15.0010738416837	0.0627543427559244	0.824106295287752	0.0652302744845763	0.00245211752178401	0.699897923935524	-20.2127622487362	0.120636696204455	0.413990646742628	5.412248764997	15.0010738416837
"21"	20	-646.636477548625	-660.927467849896	-646.636477548625	-14.2909903012715	-646.636477548625	15.0010738416837	0.0705371622543361	0.193884948462278	0.0643827925150411	0.000204808828058859	0.21972273837977	-19.9719383179247	0.151138591233279	0.351878627371822	5.412248764997	15.0010738416837
"22"	21	-646.302251469769	-662.222428230865	-646.302251469769	-15.9201767610961	-646.302251469769	15.0010738416837	0.055559244832506	0.327411292357596	0.0529871647609981	0.000162275479675546	0.257019635416553	-21.010260244167	0.123925220967613	0.609202074020698	5.412248764997	15.0010738416837
"23"	22	-645.975316140723	-665.103791061179	-645.975316140723	-19.1284749204555	-645.975316140723	15.0010738416837	0.055559244832506	0.171880145342204	0.0548240191564806	5.33477295159298e-05	0.138971824897957	-24.9225054679061	0.0301394568652177	0.247505007521509	5.412248764997	15.0010738416837
"24"	23	-645.517560298407	-661.545678947794	-645.517560298407	-16.0281186493873	-645.517560298407	15.0010738416837	0.0596123444485546	0.424893841639157	0.0540493266330965	0.00018085575098222	0.254898458652036	-20.7429549317823	0.145687477818174	0.146654180920297	5.412248764997	15.0010738416837
"25"	24	-645.173387952995	-661.065736201918	-645.173387952995	-15.892348248923	-645.173387952995	15.0010738416837	0.0595664218532353	0.303487412063399	0.0613493471773939	0.00017039143307765	0.206587569602738	-21.0800098706791	0.086234308147747	0.0874729797635259	5.412248764997	15.0010738416837
"26"	25	-644.732304953148	-661.454337688695	-644.732304953148	-16.7220327355472	-644.732304953148	15.0010738416837	0.0583330495243675	0.441651920615854	0.0615435471324291	0.000615843952059667	0.434479976461695	-21.3751786951043	0.211351836060731	0.311790589684583	5.412248764997	15.0010738416837
"27"	26	-644.664047415845	-660.106372492124	-644.664047415845	-15.4423250762792	-644.664047415845	15.0010738416837	0.0605504150364505	0.307191979222436	0.0593782437128511	0.000398126863047489	0.348100846751996	-20.6147004171516	0.187904984131592	0.374086494633267	5.412248764997	15.0010738416837
"28"	27	-644.616303561733	-660.770773068115	-644.616303561733	-16.1544695063823	-644.616303561733	15.0010738416837	0.0605504150364505	0.529181822911868	0.0698870208496163	0.00136156569688302	0.61004503567872	-20.4951746632366	0.147698175215039	0.378660674421527	5.412248764997	15.0010738416837
"29"	28	-644.278310162901	-660.256432390123	-644.278310162901	-15.9781222272219	-644.278310162901	15.0010738416837	0.0605504150364505	0.464970378402385	0.0597141882963291	0.000897608862003517	0.515638390671682	-20.5465207847911	0.119551790273693	0.66500554505796	5.412248764997	15.0010738416837
"30"	29	-644.246950890697	-660.858359419496	-644.246950890697	-16.6114085287994	-644.246950890697	15.0010738416837	0.0605504150364505	0.680564835683746	0.0614916036268772	0.00252610920027782	0.774420851266723	-20.4398868068251	0.0592530210844891	0.630823068724301	5.412248764997	15.0010738416837
"31"	30	-644.066088270878	-659.226892921884	-644.066088270878	-15.160804651006	-644.066088270878	14.9992616972873	0.0605504150364505	0.366024613915443	0.0625028209821547	0.000747500689117859	0.425327057394235	-20.4024752355544	0.0576955796969733	0.618898007072082	5.71627129801924	14.9992616972873
"32"	31	-643.728803955086	-659.249798059875	-643.728803955086	-15.5209941047885	-643.728803955086	14.9992616972873	0.0605504150364505	0.697436149708078	0.0677273756559426	0.00201666243744779	0.705228412106131	-19.5980433904896	0.0830011544020436	0.754064931329472	5.71627129801924	14.9992616972873
"33"	32	-643.530934192864	-659.848890785068	-643.530934192864	-16.3179565922042	-643.530934192864	14.9992616972873	0.0605504150364505	0.541661504705551	0.0604576910904701	0.0011635482259342	0.61228490098518	-20.9192748512004	0.0835088744064893	0.842501924050315	5.71627129801924	14.9992616972873
"34"	33	-643.424973605387	-658.91754794781	-643.424973605387	-15.492574342423	-643.424973605387	15.0008616662265	0.056697465257583	0.524064866133417	0.060013773828853	0.000988392257327263	0.613835651213126	-20.0564853496536	0.0565454423927589	0.800609576968784	5.61758240285182	15.0008616662265
"35"	34	-643.400605452532	-658.835928072811	-643.400605452532	-15.4353226202788	-643.400605452532	15.0008616662265	0.0581196936268085	0.48736659751528	0.0603330111067902	0.000825999223450835	0.482860950337044	-20.128752064203	0.136608649397877	0.611432595731814	5.61758240285182	15.0008616662265
"36"	35	-643.359367026568	-658.84122855155	-643.359367026568	-15.4818615249825	-643.359367026568	15.0008616662265	0.0581196936268085	0.686288485231097	0.0638647178852787	0.00130168880756878	0.588085269322507	-19.4968303020009	0.0929208923932914	0.577903904579614	5.61758240285182	15.0008616662265
"37"	36	-643.355703800356	-658.980775427724	-643.355703800356	-15.6250716273681	-643.355703800356	15.0008616662265	0.0581196936268085	0.612837571995005	0.0637600930247646	0.00123270494016708	0.6188940488318	-19.8844870553167	0.0762224888734525	0.582536406713733	5.61758240285182	15.0008616662265
"38"	37	-643.332523131478	-659.689336114923	-643.332523131478	-16.3568129834448	-643.332523131478	15.0008616662265	0.0572315766629883	0.554639466799266	0.0629468902657236	0.000943364599654102	0.516474293280318	-20.8145588299093	0.208782193071991	0.218712350345755	5.61758240285182	15.0008616662265
"39"	38	-643.240809333223	-660.362756353257	-643.240809333223	-17.1219470200337	-643.240809333223	15.0008616662265	0.0609241278148577	0.872903509309166	0.0683851055584941	0.0028606024504901	0.786367612842571	-20.5375282651335	0.212910931972137	0.0625896985289913	5.61758240285182	15.0008616662265
"40"	39	-643.213401939934	-659.530897358848	-643.213401939934	-16.3174954189141	-643.213401939934	15.0008616662265	0.0609241278148577	0.738480398136478	0.0669098637463816	0.00199369604574472	0.69757303690375	-20.1620546731579	0.142624700032439	0.0363722045093844	5.61758240285182	15.0008616662265
"41"	40	-643.210496069159	-659.457293666767	-643.210496069159	-16.2467975976081	-643.210496069159	15.0008616662265	0.0599831275341042	0.647796544659258	0.0635574161416873	0.00140542187827136	0.618851407556711	-20.3891319340294	0.185574201220014	0.287859478720328	5.61758240285182	15.0008616662265
"42"	41	-643.120171118925	-659.172528490948	-643.120171118925	-16.0523573720231	-643.120171118925	15.0008616662265	0.0625205807218723	0.700369671232358	0.0657477504004207	0.00285056457159704	0.801208126557571	-20.0211039254849	0.166323536788283	0.123186772660879	5.61758240285182	15.0008616662265
"43"	42	-643.064011842167	-659.897510520827	-643.064011842167	-16.8334986786599	-643.064011842167	15.0008616662265	0.0625205807218723	0.623046912895316	0.0644393286628292	0.00152595579857226	0.653465934833776	-21.0585744074402	0.0727528224497561	0.221171845367788	5.61758240285182	15.0008616662265
"44"	43	-643.003903357418	-659.007067776114	-643.003903357418	-16.003164418696	-643.003903357418	15.0002203757691	0.0652547073744726	0.614069311593185	0.0637666861288894	0.00226145913366409	0.752594162181063	-20.6053817289527	0.172761601349013	0.588059206001025	5.96453400597544	15.0002203757691
"45"	44	-642.97561378692	-658.732070383462	-642.97561378692	-15.7564565965421	-642.97561378692	15.0002203757691	0.0652547073744726	0.578641595178651	0.0612851930921126	0.00199657086015721	0.732923644937786	-20.4787999570782	0.162307698980995	0.531790665719645	5.96453400597544	15.0002203757691
