"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file53c54680e14b"	"TreeHeight"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"25"	24	-711.39863834737	-726.921949505561	-711.39863834737	-15.5233111581909	-711.39863834737	14.9976374985105	0.109100757682156	0.0649518771685315	0.112333866099292	7.1473730874895e-05	0.0770498930615793	-19.8312318807099	0.110118875429316	0.353922695137778	3.19811010186956	14.9976374985105
"26"	25	-711.287562594614	-728.965735092611	-711.287562594614	-17.6781724979976	-711.287562594614	14.9976374985105	0.107819676748644	0.3240147120268	0.0940975368487321	0.000355420580367624	0.19193992835135	-20.5678123762546	0.136953256923023	0.439484396539761	3.19811010186956	14.9976374985105
"27"	26	-710.49706401164	-727.935339953998	-710.49706401164	-17.438275942358	-710.49706401164	14.9976374985105	0.107819676748644	0.591717051080683	0.0765945040768773	0.00388616872315393	0.600334069431392	-19.3496697236704	0.101561917638536	0.720091501043069	3.19811010186956	14.9976374985105
"28"	27	-708.427567577239	-728.182756496428	-708.427567577239	-19.7551889191883	-708.427567577239	14.9976374985105	0.0912840461316814	0.835160053284154	0.0606881850529661	0.00133931119409122	0.515519519523345	-20.870479026664	0.103142709810597	0.562709928627241	3.19811010186956	14.9976374985105
"29"	28	-707.746568231974	-727.712141039085	-707.746568231974	-19.9655728071104	-707.746568231974	14.9976374985105	0.0966348912146573	0.85783035716936	0.0770934230598359	0.00155989065153	0.58513627692204	-21.0091701483652	0.0820697734393474	0.655946132415957	3.19811010186956	14.9976374985105
"30"	29	-706.444805667835	-726.360707269652	-706.444805667835	-19.9159016018164	-706.444805667835	14.9976374985105	0.101966357387841	0.911226590863382	0.0679072506810024	0.00275279198141296	0.697245018303639	-20.7918802639608	0.071020185461773	0.691900418211016	3.19811010186956	14.9976374985105
"31"	30	-705.789581571448	-725.417334753466	-705.789581571448	-19.627753182018	-705.789581571448	14.9976374985105	0.101966357387841	1.08861607798095	0.0633730708771508	0.00349175397065876	0.856099414638362	-19.9573480920901	0.0689578856376123	0.504126783400826	3.19811010186956	14.9976374985105
"32"	31	-704.995119581732	-725.257793186601	-704.995119581732	-20.2626736048694	-704.995119581732	14.9976374985105	0.101966357387841	1.19518228427942	0.0661196461204709	0.0047200564085723	0.80535655181781	-20.2702289050003	0.108194147874527	0.306729100248073	3.19811010186956	14.9976374985105
"33"	32	-704.971451743528	-726.567059154315	-704.971451743528	-21.595607410787	-704.971451743528	14.9976374985105	0.07613777428171	1.25536449689881	0.0536340283745097	0.00640252986135193	1.20059976281138	-21.4229582113266	0.0742680732337593	0.608962686284592	3.19811010186956	14.9976374985105
"34"	33	-704.757928729952	-727.450538042466	-704.757928729952	-22.6926093125141	-704.757928729952	14.9976374985105	0.07613777428171	0.991855934056999	0.0600684122317379	0.00052147464705648	0.429309911528074	-23.3184255257905	0.0336996837217472	0.954745138319001	3.19811010186956	14.9976374985105
"35"	34	-702.739802454587	-725.222048471048	-702.739802454587	-22.4822460164607	-702.739802454587	14.9976374985105	0.056034368601114	1.02522520874529	0.0589534855524755	0.000692841770729163	0.524963826653056	-23.0054507294869	0.0259697328415901	0.953770494473293	3.19811010186956	14.9976374985105
"36"	35	-702.125575708016	-721.522827414432	-702.125575708016	-19.3972517064162	-702.125575708016	14.9976374985105	0.056034368601114	0.421624261183618	0.0529998413770032	0.000361031699720474	0.357269882208608	-21.9100671815853	0.0876533068444428	0.781932245402256	3.19811010186956	14.9976374985105
"37"	36	-702.080467288014	-722.956853669776	-702.080467288014	-20.876386381762	-702.080467288014	14.9976374985105	0.056034368601114	0.53994102462514	0.0521236108297833	0.00025819861502208	0.322512933933853	-22.9655131949565	0.0220533671411247	0.744149166525783	3.19811010186956	14.9976374985105
"38"	37	-701.863676301885	-722.445540297539	-701.863676301885	-20.5818639956544	-701.863676301885	14.9976374985105	0.0553025031620324	0.419764664254148	0.0519264223113326	0.000184058506181313	0.266163534393913	-23.1015839110487	0.0437301135976534	0.343904173417193	3.19811010186956	14.9976374985105
"39"	38	-701.67711688531	-721.728294355176	-701.67711688531	-20.0511774698653	-701.67711688531	14.9976374985105	0.0576128142840281	0.51512911927617	0.050978753072976	0.000306132127768206	0.34927880550129	-22.2269322130378	0.110727908395955	0.292120007465419	3.19811010186956	14.9976374985105
"40"	39	-701.64905444795	-721.712358789482	-701.64905444795	-20.0633043415318	-701.64905444795	14.9976374985105	0.0528386214959636	0.440064700812351	0.0478821107274954	0.000345130345288149	0.376882310893371	-22.5081253290458	0.154266235734792	0.199291742871201	3.19811010186956	14.9976374985105
"41"	40	-701.585696488103	-721.715964577626	-701.585696488103	-20.1302680895223	-701.585696488103	14.9976374985105	0.0520225054604017	0.385145276613196	0.049614387377747	0.000118667711082308	0.223467255486025	-22.7802667020468	0.177931274824732	0.13027317289165	3.19811010186956	14.9976374985105
"42"	41	-701.561435058931	-720.993187592691	-701.561435058931	-19.4317525337597	-701.561435058931	14.9976374985105	0.0522432253142721	0.472143365641578	0.0522311763431589	0.000231437509739277	0.299981815359734	-21.7601818038976	0.0967656256583559	0.103203526668952	3.19811010186956	14.9976374985105
"43"	42	-701.560033078458	-720.673304809468	-701.560033078458	-19.11327173101	-701.560033078458	14.9976374985105	0.0521406899148218	0.397141310476607	0.0522840918124819	0.000185853135386926	0.26863040034555	-21.717737705249	0.0850681072786062	0.1786058803946	3.19811010186956	14.9976374985105
"44"	43	-701.326699782325	-720.799901477387	-701.326699782325	-19.4732016950623	-701.326699782325	14.9976374985105	0.0521406899148218	0.417612014082502	0.0487862455087297	0.000144981910600543	0.249372453385495	-22.0009254082134	0.133961493183355	0.154758002131633	3.19811010186956	14.9976374985105
"45"	44	-701.289194172496	-720.506416744172	-701.289194172496	-19.2172225716763	-701.289194172496	14.9976374985105	0.0498533665714426	0.307691155456738	0.0494742274299937	0.00024413279326276	0.339123332788158	-22.1734046364557	0.126124698986189	0.103102180116265	3.19811010186956	14.9976374985105
"46"	45	-701.281756125555	-721.549316407495	-701.281756125555	-20.2675602819405	-701.281756125555	14.9976374985105	0.050455194441843	0.329455280173632	0.0478795741264549	0.000169905014558398	0.277562466374131	-23.1352876621709	0.0584664216356731	0.143911993218486	3.19811010186956	14.9976374985105
"47"	46	-701.268718386561	-720.467579213772	-701.268718386561	-19.1988608272113	-701.268718386561	14.9976374985105	0.050455194441843	0.278565992804495	0.0455739070752276	8.35292688454851e-05	0.201508126221174	-22.2770896265962	0.0914056946476459	0.15858897847867	3.19811010186956	14.9976374985105
"48"	47	-701.253631640375	-720.943218604251	-701.253631640375	-19.6895869638758	-701.253631640375	14.9976374985105	0.0508991871815101	0.318380661025211	0.0488099110833898	0.000174903534785637	0.291598994090763	-22.6020555009189	0.159957473970312	0.257624870927001	3.19811010186956	14.9976374985105
"49"	48	-701.20253918298	-720.791965748764	-701.20253918298	-19.5894265657841	-701.20253918298	14.9976374985105	0.0508991871815101	0.340249706078615	0.048258046967777	0.000183783994457982	0.308477656078496	-22.4140459812039	0.129581755526045	0.128519259181266	3.19811010186956	14.9976374985105
"50"	49	-701.16986731822	-721.836490868679	-701.16986731822	-20.6666235504586	-701.16986731822	14.9976374985105	0.0508991871815101	0.395914849658913	0.0484979253841214	0.000201302189244555	0.316071622198403	-23.275725013525	0.178565734204346	0.22857679163041	3.19811010186956	14.9976374985105
"51"	50	-701.125124044933	-723.079116435294	-701.125124044933	-21.9539923903608	-701.125124044933	14.9976374985105	0.0498674893600306	0.416183789255375	0.0467242290004407	0.000444113768502574	0.465428786831233	-24.4870331484891	0.142750876031167	0.689402023222865	3.19811010186956	14.9976374985105
"52"	51	-701.09569483693	-721.215675099396	-701.09569483693	-20.1199802624663	-701.09569483693	14.9976374985105	0.0519070242125083	0.493464391976362	0.0457179159247063	0.000347331536422863	0.427415918919506	-22.3722457553414	0.125495760620224	0.210523250026528	3.19811010186956	14.9976374985105
"53"	52	-701.048988471647	-723.061657718664	-701.048988471647	-22.0126692470166	-701.048988471647	14.9976374985105	0.0519070242125083	0.561258103154184	0.045444730970592	0.000327045148473327	0.426484696233902	-24.0281504490803	0.192463698209839	0.264374441527393	3.19811010186956	14.9976374985105
"54"	53	-700.992910636982	-721.422375466314	-700.992910636982	-20.429464829332	-700.992910636982	14.9976374985105	0.050194941341931	0.476050489781947	0.0447996571098612	0.00024633467185426	0.359557855597784	-22.7438690810022	0.0748439493347178	0.0944035932145321	3.19811010186956	14.9976374985105
"55"	54	-700.988177126771	-721.2595554454	-700.988177126771	-20.2713783186293	-700.988177126771	15.0023922870222	0.0501790327904232	0.47140202007888	0.0455006098655538	0.000231124255476776	0.350566092942584	-22.5316603123296	0.12774248902604	0.203568311876209	3.12729814745827	15.0023922870222
