"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file6a6f7d485320"	"TreeHeight"	"rateAC"	"rateAG"	"rateAT"	"rateCG"	"rateGT"	"freqParameter.1"	"freqParameter.2"	"freqParameter.3"	"freqParameter.4"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"11"	10	-5733.79142446614	-5794.99848328442	-5733.79142446614	-61.2070588182804	-5733.79142446614	14.9999724419956	0.665714464346911	0.161720922245495	0.712848041173508	0.479310546406261	1.16235644508696	0.240901221457228	0.244148811114044	0.261612228972191	0.253337738456537	-54.4252978978916	0.399649642854409	0.832347726941859	5.9884370239732	14.9999724419956	1.01052271741937
"12"	11	-5619.89203506069	-5676.48392851355	-5619.89203506069	-56.5918934528656	-5619.89203506069	14.9999724419956	0.912794012459535	0.161720922245495	0.805715342670211	0.479310546406261	1.16235644508696	0.240901221457228	0.244148811114044	0.261612228972191	0.253337738456537	-49.3599318007801	0.242340930447898	0.88297380973122	5.9884370239732	14.9999724419956	1.98889762085909
"13"	12	-5619.63757224127	-5680.12779570032	-5619.63757224127	-60.4902234590527	-5619.63757224127	14.9999724419956	0.816977609121623	0.161720922245495	1.40459121881233	0.479310546406261	1.16235644508696	0.236162166928583	0.244148811114044	0.261612228972191	0.258076792985182	-52.7853269524029	0.0839204563569979	0.946845158456402	5.9884370239732	14.9999724419956	3.11983563655369
"14"	13	-5317.14363964397	-5383.64158748757	-5317.14363964397	-66.4979478436052	-5317.14363964397	14.9999724419956	0.816977609121623	0.153196235761943	1.40459121881233	0.517491806337491	1.16235644508696	0.233743260873047	0.252746380734254	0.264031135027727	0.249479223364972	-58.7682915504014	0.173866947264487	0.904943214941059	5.9884370239732	14.9999724419956	2.6679541802628
"15"	14	-5316.35849066763	-5373.37961409689	-5316.35849066763	-57.021123429265	-5316.35849066763	14.9999724419956	0.753432321648851	0.153196235761943	1.18667719475493	0.517491806337491	1.55065632079128	0.222432312312805	0.259963460519044	0.25489071813108	0.262713509037071	-49.2440492077333	0.2038653265724	0.882239675737063	5.9884370239732	14.9999724419956	1.12444508305217
"16"	15	-5307.26336561571	-5376.68070349302	-5307.26336561571	-69.4173378773065	-5307.26336561571	14.9999724419956	0.753432321648851	0.267666478310252	1.18667719475493	0.517491806337491	1.18698223849572	0.236601286182835	0.264249416948639	0.24072174426105	0.258427552607476	-61.3946875341448	0.15560464708386	0.875990557692422	5.9884370239732	14.9999724419956	1.07455952259252
"17"	16	-5278.88163506735	-5334.16259262268	-5278.88163506735	-55.2809575553254	-5278.88163506735	14.9999724419956	0.743775932330974	0.0982654154735032	2.1221752353246	0.517491806337491	1.18698223849572	0.244621061466639	0.264249416948639	0.24072174426105	0.250407777323672	-47.5861933427579	0.201752680726596	0.910138614586402	5.9884370239732	14.9999724419956	2.19524346391166
"18"	17	-5206.37589503826	-5250.8327466312	-5206.37589503826	-44.4568515929371	-5206.37589503826	14.9999724419956	0.743775932330974	0.226152613857754	2.1221752353246	0.491761149743203	0.603240288658513	0.244621061466639	0.264249416948639	0.24072174426105	0.250407777323672	-36.7162409289041	0.227905247894984	0.939524769422704	5.9884370239732	14.9999724419956	1.72236612277251
"19"	18	-5167.90065688643	-5219.4188467157	-5167.90065688643	-51.5181898292742	-5167.90065688643	14.9999724419956	1.38905199751567	0.179625354793613	2.1221752353246	0.491761149743203	0.603240288658513	0.244621061466639	0.264249416948639	0.24072174426105	0.250407777323672	-43.3407927129816	0.16360043751709	0.876197387307604	5.9884370239732	14.9999724419956	1.80633519360113
"20"	19	-5123.99696652775	-5180.96041960534	-5123.99696652775	-56.9634530775965	-5123.99696652775	14.9999724419956	1.43698984255055	0.179625354793613	1.14390059794025	0.491761149743203	0.603240288658513	0.237682027116706	0.264249416948639	0.25416976549592	0.243898790438735	-49.4339547891683	0.125000901243526	0.9447032479396	5.9884370239732	14.9999724419956	1.36258659434894
"21"	20	-5074.99050296928	-5145.18710524716	-5074.99050296928	-70.1966022778837	-5074.99050296928	14.9999724419956	1.43698984255055	0.147812382342276	1.59775787423332	0.491761149743203	0.603240288658513	0.237682027116706	0.267763883118127	0.25416976549592	0.240384324269248	-62.4910425178363	0.0444381921865056	0.968538327403898	5.9884370239732	14.9999724419956	1.06624187799601
"22"	21	-5064.00772002242	-5133.43637317535	-5064.00772002242	-69.4286531529252	-5064.00772002242	14.9999724419956	1.01440253796897	0.147812382342276	1.59775787423332	0.491761149743203	0.603240288658513	0.237682027116706	0.267763883118127	0.25416976549592	0.240384324269248	-62.0961903186626	0.070455129244184	0.964920005808726	5.9884370239732	14.9999724419956	0.899733431606806
"23"	22	-5045.22701920358	-5116.10147217009	-5045.22701920358	-70.8744529665085	-5045.22701920358	14.9999724419956	1.01440253796897	0.147812382342276	1.04160312333687	0.491761149743203	1.8663721403477	0.240434244931022	0.270411420334839	0.248770010464892	0.240384324269248	-62.8047763543645	0.116013698610451	0.885467387911577	5.9884370239732	14.9999724419956	0.849574908702403
"24"	23	-5021.49390605081	-5084.50240041021	-5021.49390605081	-63.0084943593982	-5021.49390605081	14.9999724419956	1.01440253796897	0.147812382342276	1.62114419036433	0.491761149743203	1.06572379692337	0.240434244931022	0.270411420334839	0.248770010464892	0.240384324269248	-55.0730010442101	0.124918003153016	0.925301600211838	5.9884370239732	14.9999724419956	1.4629759379867
"25"	24	-4987.1286164793	-5039.14524837007	-4987.1286164793	-52.0166318907737	-4987.1286164793	14.9999724419956	1.01440253796897	0.147812382342276	1.62114419036433	0.361703116477751	1.06572379692337	0.247552001160003	0.267812901709436	0.251368529090294	0.233266568040266	-44.3859552856343	0.157825734231726	0.943564334688387	5.9884370239732	14.9999724419956	1.00723886506956
"26"	25	-4965.0196543413	-5002.02550540975	-4965.0196543413	-37.0058510684496	-4965.0196543413	14.9999724419956	0.732343320152409	0.147812382342276	1.62114419036433	0.326257888712149	1.06572379692337	0.247552001160003	0.267812901709436	0.251368529090294	0.233266568040266	-29.8144191255998	0.12164838378913	0.972136877775675	5.9884370239732	14.9999724419956	1.63167376208487
"27"	26	-4954.95630877312	-4986.5555591207	-4954.95630877312	-31.5992503475807	-4954.95630877312	14.9999724419956	0.732343320152409	0.147567614041996	1.62114419036433	0.326257888712149	1.06251042817346	0.247552001160003	0.267812901709436	0.251368529090294	0.233266568040266	-24.4125951917608	0.143708895482211	0.960355082071845	5.9884370239732	14.9999724419956	1.30128029627435
"28"	27	-4939.27780559716	-4974.25635422922	-4939.27780559716	-34.9785486320556	-4939.27780559716	14.9999724419956	1.39788678894984	0.147567614041996	1.01894820332528	0.238294219643158	1.14733987438469	0.247552001160003	0.258846171728533	0.251368529090294	0.242233298021169	-27.8383730334706	0.111983169735376	0.968942535817774	5.9884370239732	14.9999724419956	1.52331328508311
"29"	28	-4931.25088055974	-4963.14597965991	-4931.25088055974	-31.8950991001627	-4931.25088055974	14.9999724419956	1.42561021495693	0.138369890716332	0.660201067635569	0.238294219643158	1.14733987438469	0.25200029819456	0.258929272138475	0.254061917041545	0.23500851262542	-25.2432502698008	0.23333092437498	0.932346321111862	5.9884370239732	14.9999724419956	1.41924427928804
"30"	29	-4912.11292567934	-4941.95507528886	-4912.11292567934	-29.8421496095182	-4912.11292567934	14.9999724419956	0.798708001233732	0.138369890716332	0.81025579660545	0.238294219643158	1.14733987438469	0.25200029819456	0.26026065202759	0.25273053715243	0.23500851262542	-23.5938120545265	0.226693547436125	0.940824664869248	5.9884370239732	14.9999724419956	1.42396723852332
"31"	30	-4765.88568518191	-4803.57507515681	-4765.88568518191	-37.6893899749054	-4765.88568518191	14.9999724419956	0.798708001233732	0.138369890716332	0.449140640364484	0.238294219643158	1.14733987438469	0.256960916947435	0.267963481185081	0.25273053715243	0.222345064715054	-32.0376771663634	0.0891603533906477	0.959982370752185	5.9884370239732	14.9999724419956	1.18364473869453
"32"	31	-4746.32821594903	-4780.58121503823	-4746.32821594903	-34.2529990891976	-4746.32821594903	14.9999724419956	0.722388811250182	0.110602773113663	0.754637139953563	0.238294219643158	1.14733987438469	0.266426573575031	0.258497824557485	0.25273053715243	0.222345064715054	-28.3949973518984	0.126698328928343	0.965409360035494	5.9884370239732	14.9999724419956	1.18195410531826
"33"	32	-4732.34865240467	-4780.58512976126	-4732.34865240467	-48.2364773565942	-4732.34865240467	14.9999724419956	0.722388811250182	0.129975193264773	2.26620953739511	0.238294219643158	1.23628046569515	0.266426573575031	0.258497824557485	0.25273053715243	0.222345064715054	-40.948553553619	0.0595866638514641	0.970534194334272	5.9884370239732	14.9999724419956	1.37483835666099
"34"	33	-4726.88816447722	-4780.65768662415	-4726.88816447722	-53.7695221469312	-4726.88816447722	14.9999724419956	0.97595519377918	0.237706194382115	2.54074588481734	0.417720350639158	1.28535319015682	0.266426573575031	0.262203602615181	0.249024759094733	0.222345064715054	-44.8623815512618	0.0608093327219163	0.970534194334272	5.9884370239732	14.9999724419956	1.35261472601654
"35"	34	-4677.18542955228	-4727.49774514119	-4677.18542955228	-50.3123155889111	-4677.18542955228	14.9999724419956	1.84611526584166	0.286584728911078	2.54074588481734	0.417720350639158	1.0511369349063	0.266426573575031	0.255158450738177	0.256069910971738	0.222345064715054	-40.7470398652665	0.0458203383119002	0.981267637352233	5.9884370239732	14.9999724419956	0.828096173364472
"36"	35	-4649.13322633363	-4701.88405972576	-4649.13322633363	-52.7508333921337	-4649.13322633363	14.9999724419956	1.62266461146452	0.286584728911078	2.51672808881227	0.462695065510755	0.966570370396635	0.266426573575031	0.254036989796377	0.256069910971738	0.223466525656853	-43.3283866994808	0.0974404375161151	0.965975061867232	5.9884370239732	14.9999724419956	1.33050194766309
"37"	36	-4642.82692016826	-4681.25535396247	-4642.82692016826	-38.428433794208	-4642.82692016826	14.9999724419956	1.62266461146452	0.184722822054746	1.97613956588839	0.846782678882945	1.1489896083132	0.266426573575031	0.254036989796377	0.256069910971738	0.223466525656853	-28.9170340109709	0.189257249839518	0.969259707864294	5.9884370239732	14.9999724419956	1.41689209429047
"38"	37	-4640.42450107452	-4681.83244815292	-4640.42450107452	-41.4079470783976	-4640.42450107452	14.9999724419956	1.62266461146452	0.184722822054746	1.97613956588839	0.846782678882945	1.71398149637563	0.256781326688869	0.252332904581562	0.257598601191975	0.233287167537594	-31.4601088400203	0.262373128647953	0.916430427522488	5.9884370239732	14.9999724419956	0.968258239838616
"39"	38	-4632.38340785908	-4679.24261413571	-4632.38340785908	-46.8592062766355	-4632.38340785908	14.9999724419956	1.62266461146452	0.19791001594245	1.97613956588839	0.522982246349197	1.71398149637563	0.256781326688869	0.252332904581562	0.257598601191975	0.233287167537594	-37.3353822410036	0.295115115685429	0.915197451734529	5.9884370239732	14.9999724419956	0.77025655296081
"40"	39	-4580.26614366883	-4624.73739203603	-4580.26614366883	-44.4712483671972	-4580.26614366883	14.9999724419956	1.62266461146452	0.19791001594245	1.97613956588839	0.495777199344824	0.968430103593731	0.256781326688869	0.252332904581562	0.257598601191975	0.233287167537594	-35.617802911341	0.288535327163966	0.845770206035022	5.9884370239732	14.9999724419956	0.722461742295392
"41"	40	-4575.42849717778	-4631.54934711771	-4575.42849717778	-56.1208499399337	-4575.42849717778	14.9999724419956	1.62266461146452	0.276186706651606	1.97613956588839	0.495777199344824	1.17346536033077	0.256293465904862	0.252332904581562	0.257598601191975	0.233775028321601	-46.7439475315261	0.201748698562869	0.869903485313784	5.9884370239732	14.9999724419956	0.636294728281888
"42"	41	-4562.99999195611	-4615.70118281515	-4562.99999195611	-52.7011908590396	-4562.99999195611	14.9999724419956	1.29880103114774	0.439595318637027	0.769801556987513	0.495777199344824	0.939287628718187	0.256293465904862	0.252332904581562	0.257598601191975	0.233775028321601	-44.3696083924703	0.142477953124606	0.915498644278161	5.9884370239732	14.9999724419956	0.548064335241602
"43"	42	-4553.8556097931	-4618.15976398086	-4553.8556097931	-64.3041541877572	-4553.8556097931	14.9999724419956	0.665068728432343	0.610474194989553	0.769801556987513	0.495777199344824	0.939287628718187	0.256293465904862	0.253348178478446	0.256583327295091	0.233775028321601	-56.3512797549178	0.175630196942244	0.844310407356011	5.9884370239732	14.9999724419956	0.487650313596369
"44"	43	-4548.46640703636	-4617.6812859669	-4548.46640703636	-69.2148789305403	-4548.46640703636	14.9999724419956	0.665068728432343	0.610474194989553	0.549348108709176	0.475763100927293	0.939287628718187	0.265565780565968	0.244075863817339	0.255627976192948	0.234730379423744	-61.6457279335247	0.232068680878032	0.817583335533907	5.9884370239732	14.9999724419956	0.42069487720519
"45"	44	-4535.80189671807	-4608.77425698598	-4535.80189671807	-72.9723602679104	-4535.80189671807	14.9999724419956	0.665068728432343	0.663678462733907	0.549348108709176	0.303172178582323	0.474187581363161	0.265565780565968	0.244075863817339	0.255627976192948	0.234730379423744	-66.4623654961437	0.168129672078366	0.887390367383748	5.9884370239732	14.9999724419956	0.358405656504039
"46"	45	-4522.41298578327	-4594.14203767089	-4522.41298578327	-71.7290518876228	-4522.41298578327	14.9996593261006	0.665068728432343	0.434908552460446	0.562923137868081	0.303172178582323	0.474187581363161	0.265565780565968	0.244075863817339	0.255627976192948	0.234730379423744	-65.5498271426222	0.117269332928841	0.910892499075018	5.93078739292705	14.9996593261006	0.361085282310449
"47"	46	-4497.11803065562	-4584.38515421936	-4497.11803065562	-87.2671235637351	-4497.11803065562	14.9996593261006	0.922471206253892	0.776645314568113	0.562923137868081	0.24545154600654	0.458113667460586	0.268033004287812	0.238932270823921	0.253160752471105	0.239873972417162	-80.4241907494553	0.252464656841973	0.715981802595878	5.93078739292705	14.9996593261006	0.224244159568914
"48"	47	-4489.19349032808	-4573.77578125881	-4489.19349032808	-84.5822909307325	-4489.19349032808	14.9996593261006	0.922471206253892	0.59080168464576	0.562923137868081	0.310030798362187	0.458113667460586	0.264370769930421	0.238932270823921	0.253160752471105	0.243536206774553	-77.7801270891588	0.234790431682804	0.769871297238285	5.93078739292705	14.9996593261006	0.358538223846626
"49"	48	-4484.48477051049	-4565.49442012385	-4484.48477051049	-81.0096496133612	-4484.48477051049	14.9996593261006	0.922471206253892	0.677296446004436	0.535130461265701	0.310030798362187	0.441346520466663	0.269234705305547	0.230155531080219	0.257073556839681	0.243536206774553	-74.1613433497497	0.291528768762466	0.612472260600204	5.93078739292705	14.9996593261006	0.310325061758533
"50"	49	-4444.99850879069	-4527.32937044466	-4444.99850879069	-82.3308616539672	-4444.99850879069	14.9996593261006	0.922471206253892	1.04073071398814	0.64470391304868	0.243506637739779	0.402397366795821	0.268372993161118	0.230155531080219	0.257073556839681	0.244397918918982	-75.1961380778024	0.305625100032523	0.443364434283422	5.93078739292705	14.9996593261006	0.282179970237515
"51"	50	-4419.67921038801	-4515.00645409598	-4419.67921038801	-95.3272437079679	-4419.67921038801	14.9996593261006	0.922471206253892	1.04073071398814	0.946360401507204	0.411486919213388	0.402397366795821	0.268066760432755	0.230155531080219	0.257073556839681	0.244704151647345	-87.2825143832969	0.186622965029251	0.718885404672095	5.93078739292705	14.9996593261006	0.242808244685051
"52"	51	-4414.99618035375	-4509.0435705514	-4414.99618035375	-94.0473901976547	-4414.99618035375	14.9996593261006	1.06233969481835	1.04073071398814	1.3233027916878	0.589965022148322	0.402397366795821	0.27720957130197	0.221012720211003	0.252042958802549	0.249734749684477	-85.1382466399129	0.118022531375431	0.805833541677833	5.93078739292705	14.9996593261006	0.284739796364976
"53"	52	-4395.22929643849	-4493.10718123304	-4395.22929643849	-97.8778847945497	-4395.22929643849	14.9996593261006	1.30119175269804	0.644287800498302	1.3233027916878	0.589965022148322	0.367111658437326	0.27762784586781	0.221012720211003	0.252042958802549	0.249316475118637	-89.3182817646073	0.210966161417126	0.517257980518322	5.93078739292705	14.9996593261006	0.20379242315966
"54"	53	-4357.6528055314	-4455.86246331606	-4357.6528055314	-98.2096577846601	-4357.6528055314	14.9996593261006	1.30119175269804	0.498510345448285	0.823920454608686	0.828913609012809	0.462335113976148	0.27762784586781	0.221012720211003	0.252042958802549	0.249316475118637	-89.8255384004504	0.110077360812293	0.737382852807792	5.93078739292705	14.9996593261006	0.201079763503427
"55"	54	-4349.07288992117	-4442.43358289966	-4349.07288992117	-93.3606929784877	-4349.07288992117	14.9996593261006	0.750447156331394	0.460879154563781	0.823920454608686	1.11436776471395	0.462335113976148	0.27762784586781	0.221012720211003	0.252042958802549	0.249316475118637	-85.3212663043034	0.164903983495176	0.682203657605666	5.93078739292705	14.9996593261006	0.208547744445578
"56"	55	-4345.4127521261	-4450.74534600165	-4345.4127521261	-105.332593875555	-4345.4127521261	14.9996593261006	0.750447156331394	1.11873105447291	0.823920454608686	0.90454706871755	0.716050883445119	0.281544208823749	0.221012720211003	0.246469818683302	0.250973252281946	-96.1960009194445	0.213868610464005	0.478155218687582	5.93078739292705	14.9996593261006	0.131177486605453
"57"	56	-4339.36791852764	-4452.88591419027	-4339.36791852764	-113.517995662632	-4339.36791852764	14.9996593261006	0.750447156331394	1.11873105447291	0.85145508614665	0.90454706871755	0.716050883445119	0.281544208823749	0.215980990409207	0.246469818683302	0.256004982083742	-104.3474201191	0.331030652960792	0.109255971443202	5.93078739292705	14.9996593261006	0.106036405613988
"58"	57	-4310.70785615449	-4430.28398149888	-4310.70785615449	-119.576125344389	-4310.70785615449	14.9996593261006	0.588639970533177	1.11873105447291	0.600358217233026	0.90454706871755	0.716050883445119	0.279280227654493	0.218244971578464	0.249642625244624	0.252832175522419	-111.009501211412	0.310416320636896	0.100261183157885	5.93078739292705	14.9996593261006	0.0794803406011057
"59"	58	-4306.43206707241	-4415.95438865029	-4306.43206707241	-109.522321577877	-4306.43206707241	14.9996593261006	0.850867188919415	0.64320262983753	0.600358217233026	0.90454706871755	0.657215839243884	0.277403938439469	0.218244971578464	0.249642625244624	0.254708464737443	-101.216383212343	0.273133883484946	0.0578524718643767	5.93078739292705	14.9996593261006	0.116841652602996
"60"	59	-4269.62521398351	-4382.26563012959	-4269.62521398351	-112.640416146077	-4269.62521398351	14.9996593261006	0.850867188919415	0.64320262983753	0.600358217233026	0.576212747514444	0.657215839243884	0.265448747826608	0.224608974593747	0.257186644537903	0.252755633041742	-104.7957207389	0.215643702432789	0.0933195436512535	5.93078739292705	14.9996593261006	0.114611039760593
"61"	60	-4267.57705893379	-4373.40657615965	-4267.57705893379	-105.829517225855	-4267.57705893379	14.9996593261006	0.850867188919415	0.64320262983753	0.600358217233026	0.576212747514444	0.657215839243884	0.258430770230233	0.224608974593747	0.257186644537903	0.259773610638117	-97.9848218186786	0.2344429573148	0.353030458799133	5.93078739292705	14.9996593261006	0.140545033362389
"62"	61	-4266.1702450401	-4371.96142308357	-4266.1702450401	-105.791178043468	-4266.1702450401	14.9996593261006	0.850867188919415	0.64320262983753	0.803644380285279	0.576212747514444	0.657215839243884	0.258430770230233	0.225667136208505	0.256128482923145	0.259773610638117	-97.6491051851449	0.209064383769763	0.449328582858014	5.93078739292705	14.9996593261006	0.126764608891923
"63"	62	-4259.85526691578	-4363.95158466695	-4259.85526691578	-104.096317751179	-4259.85526691578	14.9996593261006	0.850867188919415	0.64320262983753	0.803644380285279	0.576212747514444	0.432097613255369	0.257314467446858	0.225667136208505	0.25724478570652	0.259773610638117	-96.3751496347173	0.294978102172719	0.358331301178668	5.93078739292705	14.9996593261006	0.143051259152903
"64"	63	-4257.73163299687	-4365.92341612794	-4257.73163299687	-108.191783131068	-4257.73163299687	14.9996593261006	0.850867188919415	0.578122065262465	0.845218709472172	0.826272166873182	0.432097613255369	0.25104208174296	0.231939521912404	0.25724478570652	0.259773610638117	-100.155705159005	0.253059681995276	0.211025590136612	5.93078739292705	14.9996593261006	0.114730889835971
"65"	64	-4202.32393468602	-4304.54761829996	-4202.32393468602	-102.223683613945	-4202.32393468602	14.9996593261006	0.850867188919415	0.578122065262465	0.438468819017536	0.826272166873182	0.839179946056773	0.25104208174296	0.231939521912404	0.25724478570652	0.259773610638117	-94.1804788233418	0.222718345749599	0.507970423303064	5.93078739292705	14.9996593261006	0.120657799461829
"66"	65	-4199.99049020325	-4308.21040617908	-4199.99049020325	-108.219915975825	-4199.99049020325	14.9996593261006	0.850867188919415	0.578122065262465	0.438468819017536	0.826272166873182	0.839179946056773	0.25104208174296	0.231939521912404	0.25724478570652	0.259773610638117	-100.176711185222	0.176491716892632	0.433267275275647	5.93078739292705	14.9996593261006	0.14161212617366
"67"	66	-4157.94836555485	-4267.92730302436	-4157.94836555485	-109.978937469508	-4157.94836555485	14.9996593261006	0.954050951759571	0.578122065262465	0.458401153952422	1.01090122460686	0.839179946056773	0.254661962560358	0.231939521912404	0.253624904889121	0.259773610638117	-101.562397375392	0.183343345456817	0.537841189547989	5.93078739292705	14.9996593261006	0.12299979894827
"68"	67	-4145.79646472461	-4252.75250621716	-4145.79646472461	-106.956041492541	-4145.79646472461	14.9996593261006	0.954050951759571	0.578122065262465	0.47574872711577	1.01090122460686	0.49753463052416	0.275725890469403	0.22610789556447	0.247834009816804	0.250332204149323	-99.0332652793356	0.204759619977069	0.390871124019808	5.93078739292705	14.9996593261006	0.134692265449552
"69"	68	-4140.23787796389	-4249.03212144786	-4140.23787796389	-108.794243483976	-4140.23787796389	14.9996593261006	0.954050951759571	0.578122065262465	0.702780688693682	0.619163245359751	0.49753463052416	0.275877566624386	0.230044292658589	0.248885241137981	0.245192899579044	-100.983007701045	0.220982237399408	0.232970997074717	5.93078739292705	14.9996593261006	0.131266882055847
"70"	69	-4136.47157015231	-4238.30560599579	-4136.47157015231	-101.83403584348	-4136.47157015231	14.9996593261006	0.954050951759571	0.578122065262465	0.702780688693682	0.619163245359751	0.423737780116995	0.275877566624386	0.230044292658589	0.248885241137981	0.245192899579044	-94.1827025709391	0.26376285214377	0.215170422051632	5.93078739292705	14.9996593261006	0.128661154272467
"71"	70	-4112.80550097241	-4213.64492900627	-4112.80550097241	-100.839428033863	-4112.80550097241	14.9996593261006	0.57833981246321	0.578122065262465	0.748851912105422	0.940702275475352	0.423737780116995	0.265861104039108	0.240060755243866	0.248885241137981	0.245192899579044	-93.2067661462807	0.30741926487832	0.177369688163484	5.93078739292705	14.9996593261006	0.133882670040296
"72"	71	-4101.03313293214	-4208.06227161963	-4101.03313293214	-107.029138687486	-4101.03313293214	14.9996593261006	0.57833981246321	0.537363620610158	1.05244514964144	0.940702275475352	0.423737780116995	0.274351968256531	0.234449034205697	0.254496962176151	0.236702035361622	-99.1142962399439	0.392982018940777	0.1242346796116	5.93078739292705	14.9996593261006	0.111012513419981
"73"	72	-4098.38470527208	-4200.51238443848	-4098.38470527208	-102.127679166398	-4098.38470527208	14.9996593261006	0.728195045655315	0.537363620610158	1.05244514964144	0.754697413421716	0.423737780116995	0.281388560603644	0.232550020406437	0.254496962176151	0.231564456813768	-94.2068590382061	0.330600836003772	0.114424211865054	5.93078739292705	14.9996593261006	0.153315267197503
"74"	73	-4086.8602131743	-4191.0714832432	-4086.8602131743	-104.211270068902	-4086.8602131743	14.9996593261006	0.495839948950266	0.559673418025353	0.88293043544253	0.934083273683358	0.675634304623297	0.287866848949282	0.221226352270347	0.259342341966603	0.231564456813768	-96.1338958712291	0.156112125931232	0.446055322915241	5.93078739292705	14.9996593261006	0.138726653223878
"75"	74	-4081.76956447364	-4191.70136609646	-4081.76956447364	-109.931801622819	-4081.76956447364	14.9996593261006	0.774987963869323	0.741018998805956	0.88293043544253	0.934083273683358	0.675634304623297	0.287866848949282	0.221226352270347	0.259342341966603	0.231564456813768	-101.126541561117	0.252237408594853	0.195531476922868	5.93078739292705	14.9996593261006	0.10976797364814
