"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file62de10df788e"	"TreeHeight"	"ucldMean"	"ucldStdev"	"rate.mean"	"rate.variance"	"rate.coefficientOfVariation"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."
"24"	23	-5353.63108794135	-5435.08879554552	-5353.63108794135	-81.4577076041618	-5353.63108794135	15.0067139795907	0.413357148063878	0.128100853662707	0.435608099573046	0.00213163401206665	0.110521230375473	-65.5395288211894	0.140554796306684	0.865835754685709	-16.5499442266625	15.0067139795907
"25"	24	-5344.99916005327	-5432.58062727149	-5344.99916005327	-87.581467218224	-5344.99916005327	15.0067139795907	0.561349366386668	0.371717706305636	0.549016162770015	0.0345780698930436	0.33745295681153	-70.5349091190312	0.256505265017162	0.768332440518922	-16.5499442266625	15.0067139795907
"26"	25	-5262.95970113071	-5349.29409587147	-5262.95970113071	-86.3343947407642	-5262.95970113071	15.0067139795907	0.463760158618546	0.414245252932341	0.483786613757539	0.0357130822762169	0.395952112302449	-69.1266067018968	0.352811410363393	0.366211129850296	-16.5499442266625	15.0067139795907
"27"	26	-5258.23238045145	-5342.01115794976	-5258.23238045145	-83.7787774983118	-5258.23238045145	15.0067139795907	0.54603278243469	0.133030886389964	0.541215172121357	0.00515695694950321	0.132007840011087	-67.8303031955951	0.170124322202676	0.852808501788935	-16.5499442266625	15.0067139795907
"28"	27	-5239.18774675671	-5330.05974799604	-5239.18774675671	-90.8720012393304	-5239.18774675671	15.0067139795907	0.326754025109765	0.380159003839407	0.330945063386148	0.0123392573017737	0.336516769114309	-73.7930014877023	0.115653880628074	0.841821063984585	-16.5499442266625	15.0067139795907
"29"	28	-5172.24580621591	-5262.61422530376	-5172.24580621591	-90.3684190878553	-5172.24580621591	15.0067139795907	0.456177073341894	0.148666630248247	0.445681966473685	0.00403551325202771	0.141653879502468	-74.3278408098926	0.162627788141561	0.775632435472896	-16.5499442266625	15.0067139795907
"30"	29	-5141.26104039573	-5223.23041747972	-5141.26104039573	-81.9693770839936	-5141.26104039573	15.0067139795907	0.503452811695465	0.017305340618584	0.50404129630031	7.98837343259047e-05	0.0177838509870001	-67.262944826788	0.116337159170922	0.900573740280131	-16.5499442266625	15.0067139795907
"31"	30	-5137.03809380152	-5216.49802243509	-5137.03809380152	-79.4599286335712	-5137.03809380152	15.0067139795907	0.468219513081559	0.0360428210511404	0.471545926425648	0.000313195292619007	0.0377338858402189	-64.3666404887699	0.275038163203249	0.656724406000384	-16.5499442266625	15.0067139795907
"32"	31	-5131.60651069603	-5221.55176772994	-5131.60651069603	-89.9452570339078	-5131.60651069603	15.0067139795907	0.523728048649955	0.0550125210087908	0.519082853732058	0.000922630304872895	0.0583873683918194	-74.6076154142894	0.282396392020964	0.819076057696018	-16.5499442266625	15.0067139795907
"33"	32	-5130.92851448723	-5227.11255512892	-5130.92851448723	-96.1840406416977	-5130.92851448723	15.0067139795907	0.251172693590212	0.0731138626441969	0.248963602147799	0.000356396290838688	0.0761830193690209	-80.668036820104	0.235885015300728	0.703519918485365	-16.5499442266625	15.0067139795907
"34"	33	-5126.67946979774	-5217.74669152484	-5126.67946979774	-91.0672217271022	-5126.67946979774	15.0067139795907	0.315149986396651	0.132174892057103	0.329235503720461	0.00201976120405916	0.143308060599594	-75.1239608745197	0.302723304900043	0.531477842295815	-16.5499442266625	15.0067139795907
"35"	34	-5115.55268089432	-5196.51757715164	-5115.55268089432	-80.9648962573264	-5115.55268089432	15.0025916961708	0.315149986396651	0.281415590042487	0.342210126455454	0.0104063931301591	0.313883992041224	-83.4632398011386	0.378937818241328	0.570772590174695	2.63037222481594	15.0025916961708
"36"	35	-5054.37677372884	-5134.5904512009	-5054.37677372884	-80.2136774720674	-5054.37677372884	15.0025916961708	0.318621227249955	0.0845006768038652	0.322972983376836	0.00071211446249294	0.082934485454553	-83.7815348704247	0.341005229564301	0.389988791909715	2.63037222481594	15.0025916961708
"37"	36	-4996.23800588384	-5071.01620166101	-4996.23800588384	-74.7781957771742	-4996.23800588384	15.0025916961708	0.282756783845111	0.0371311851587473	0.282000509549392	0.000101530672224863	0.0355323073016537	-78.8486775557777	0.255259358128227	0.594454035510867	2.63037222481594	15.0025916961708
"38"	37	-4929.16612139873	-5004.0244699664	-4929.16612139873	-74.8583485676763	-4929.16612139873	15.0025916961708	0.282756783845111	0.00916281002117379	0.282357062683452	7.61847985725646e-06	0.00976964757946603	-79.6463048519268	0.222999362831974	0.612857137607036	2.63037222481594	15.0025916961708
"39"	38	-4919.97752126085	-5015.31528224501	-4919.97752126085	-95.3377609841692	-4919.97752126085	15.0025916961708	0.198583486897025	0.185118728008324	0.197213250913205	0.0014968921930428	0.198534800202492	-98.2810882668976	0.214310929713454	0.421274863891817	2.63037222481594	15.0025916961708
"40"	39	-4915.81545229737	-5006.17294018419	-4915.81545229737	-90.3574878868187	-4915.81545229737	15.0025916961708	0.170007602774255	0.071633781150906	0.169687078339213	0.000141977749919247	0.0703545011962091	-94.0350918326264	0.14856639738379	0.600729599446971	2.63037222481594	15.0025916961708
"41"	40	-4915.59899657249	-5005.53686714798	-4915.59899657249	-89.9378705754883	-4915.59899657249	15.0025916961708	0.220216643666996	0.117354700190543	0.227377531989696	0.000638617317908837	0.114429710755635	-93.2684857220931	0.259381384380529	0.398162837982937	2.63037222481594	15.0025916961708
"42"	41	-4906.44095159949	-4998.27484695105	-4906.44095159949	-91.8338953515641	-4906.44095159949	15.0025916961708	0.252401750725838	0.177691609163672	0.248736698793264	0.00189400646056698	0.17011132004535	-94.8155228475468	0.263421935521385	0.171780954754403	2.63037222481594	15.0025916961708
