"","Sample","NSlikelihood","posterior","likelihood","prior","treeLikelihood.file38f42b37f504","TreeHeight","BirthDeath","BDBirthRate","BDDeathRate","logP.mrca.auto_name_1..","mrca.age.auto_name_1.","clockRate"
"35",34,-5527.13695889665,-5608.84872205749,-5527.13695889665,-81.7117631608352,-5527.13695889665,15.0004270457136,-87.6093958858438,0.214095476988451,0.648370311610158,5.89763272500863,15.0004270457136,0.486354621256703
"36",35,-5512.09751890195,-5604.36785997841,-5512.09751890195,-92.2703410764569,-5512.09751890195,15.0004270457136,-98.1679738014655,0.175679662762744,0.55997015020096,5.89763272500863,15.0004270457136,0.345396110133531
"37",36,-5459.03616938273,-5538.28609622692,-5459.03616938273,-79.2499268441958,-5459.03616938273,15.0004270457136,-85.1475595692044,0.199385514374571,0.687367128062961,5.89763272500863,15.0004270457136,0.295475808341164
"38",37,-5443.74663900182,-5521.82740688632,-5443.74663900182,-78.080767884496,-5443.74663900182,14.9989213407311,-83.4878317210791,0.407523009320473,0.430325637151303,5.40706383658307,14.9989213407311,0.268660236148039
"39",38,-5408.98062309247,-5492.24311070472,-5408.98062309247,-83.2624876122468,-5408.98062309247,14.9989213407311,-88.6695514488298,0.362699885457772,0.250194966825445,5.40706383658307,14.9989213407311,0.353310951588861
"40",39,-5321.54932879409,-5395.62987215066,-5321.54932879409,-74.0805433565669,-5321.54932879409,14.9989213407311,-79.4876071931499,0.415130905746629,0.266750627681488,5.40706383658307,14.9989213407311,0.372137204841557
"41",40,-5293.88965563748,-5379.29329734002,-5293.88965563748,-85.4036417025407,-5293.88965563748,14.9989213407311,-90.8107055391238,0.21281188510444,0.371432260553089,5.40706383658307,14.9989213407311,0.285348116391115
"42",41,-5261.31102336429,-5337.28274137048,-5261.31102336429,-75.9717180061896,-5261.31102336429,14.9989213407311,-81.3787818427727,0.384099811062693,0.310676673226302,5.40706383658307,14.9989213407311,0.285393139877096
"43",42,-5219.42944727044,-5306.95444820419,-5219.42944727044,-87.525000933749,-5219.42944727044,14.9989213407311,-92.9320647703321,0.237349874768245,0.245240805122588,5.40706383658307,14.9989213407311,0.169397245328842
"44",43,-5157.00837207134,-5242.72956519287,-5157.00837207134,-85.7211931215328,-5157.00837207134,14.9989213407311,-91.1282569581159,0.376603259136008,0.199240512124791,5.40706383658307,14.9989213407311,0.211538648924963
"45",44,-5151.3211908465,-5234.51679234498,-5151.3211908465,-83.1956014984818,-5151.3211908465,14.9989213407311,-88.6026653350649,0.363483518557694,0.14527580172449,5.40706383658307,14.9989213407311,0.219718404478621
"46",45,-5140.69186409362,-5225.71382611996,-5140.69186409362,-85.0219620263395,-5140.69186409362,14.9986082467773,-90.0422902556985,0.289357973731212,0.208681100025759,5.02032822935903,14.9986082467773,0.205697726072254
"47",46,-5136.46416588509,-5229.88850501679,-5136.46416588509,-93.4243391317009,-5136.46416588509,14.9986082467773,-98.4446673610599,0.306561931575079,0.212663956231297,5.02032822935903,14.9986082467773,0.176047058662083
"48",47,-5120.69706038306,-5217.74799654754,-5120.69706038306,-97.0509361644745,-5120.69706038306,14.9986082467773,-102.071264393834,0.262430142685901,0.182345038214165,5.02032822935903,14.9986082467773,0.128878603538361
"49",48,-5103.1049349131,-5205.34942282214,-5103.1049349131,-102.244487909045,-5103.1049349131,14.9986082467773,-107.264816138404,0.164374093012461,0.437898716566329,5.02032822935903,14.9986082467773,0.133712432849581
