"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file5b4f4b20c908"	"TreeHeight"	"rateAC"	"rateAG"	"rateAT"	"rateCG"	"rateGT"	"freqParameter.1"	"freqParameter.2"	"freqParameter.3"	"freqParameter.4"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"14"	13	-765.15242023674	-791.462753968519	-765.15242023674	-26.3103337317789	-765.15242023674	14.9996287216394	1.20876248845552	1.56760099660712	1.02782350516215	0.836695422297206	6.43460449260531	0.248656845664187	0.224993764258956	0.264638625921553	0.261710764155303	-13.5138753010263	0.0513195154858378	0.926328369475282	5.91989293524207	14.9996287216394	0.494314257186979
"15"	14	-760.612781438594	-794.450604647339	-760.612781438594	-33.8378232087455	-760.612781438594	14.9996287216394	1.20876248845552	1.56760099660712	1.02782350516215	0.836695422297206	10.7676977106802	0.247602565925016	0.226048043998128	0.264638625921553	0.261710764155303	-20.118938149973	0.0881042673895017	0.845788213430867	5.91989293524207	14.9996287216394	0.253577856366806
"16"	15	-758.980625330442	-793.026702395024	-758.980625330442	-34.0460770645823	-758.980625330442	14.9996287216394	1.20876248845552	1.39931689017517	1.02782350516215	0.836695422297206	10.7676977106802	0.246816457284495	0.221543814127069	0.269928964433133	0.261710764155303	-20.4434903402181	0.102832649311434	0.111132413264425	5.91989293524207	14.9996287216394	0.300976199834027
"17"	16	-755.363683815919	-789.08616612792	-755.363683815919	-33.7224823120015	-755.363683815919	14.9996287216394	0.525094185944293	1.39931689017517	1.02782350516215	0.981295316528604	10.7676977106802	0.246816457284495	0.221543814127069	0.269928964433133	0.261710764155303	-20.8144457506679	0.143571520389079	0.35301593821499	5.91989293524207	14.9996287216394	0.241819509143567
"18"	17	-754.457688861784	-787.434367767988	-754.457688861784	-32.9766789062038	-754.457688861784	14.9996287216394	0.525094185944293	1.39931689017517	0.917978075393233	0.981295316528604	5.69671451304588	0.24794362870913	0.220416642702434	0.269928964433133	0.261710764155303	-21.2989272196934	0.0950160000665197	0.152385868685026	5.91989293524207	14.9996287216394	0.184294438865089
"19"	18	-747.751819144584	-780.384748253727	-747.751819144584	-32.6329291091425	-747.751819144584	14.9996287216394	0.525094185944293	1.43928345709176	0.917978075393233	1.03283881416067	5.69671451304588	0.255092358770795	0.220416642702434	0.26332938423869	0.261161614288081	-20.8726382750581	0.114096419723109	0.235041089915748	5.91989293524207	14.9996287216394	0.111735459478827
"20"	19	-746.374349035052	-778.07023144022	-746.374349035052	-31.6958824051682	-746.374349035052	14.9996287216394	0.280917463154062	1.43928345709176	0.474589907455486	1.03283881416067	5.69671451304588	0.253801051115988	0.227284582318325	0.26332938423869	0.255584982326997	-21.2253252777915	0.112166274010502	0.0492837427737316	5.91989293524207	14.9996287216394	0.0834535504569197
"21"	20	-741.720864127112	-773.124511827669	-741.720864127112	-31.4036477005568	-741.720864127112	14.9996287216394	0.189542254238268	1.59286518570378	0.253171658949493	1.58505840520916	5.69671451304588	0.253801051115988	0.227284582318325	0.26332938423869	0.255584982326997	-21.3689953447709	0.133222813190247	0.0701179600486137	5.91989293524207	14.9996287216394	0.094286150006229
"22"	21	-739.089451721474	-770.485541239604	-739.089451721474	-31.3960895181302	-739.089451721474	14.9996287216394	0.12704270481172	1.59286518570378	0.253171658949493	2.68366702442282	5.69671451304588	0.262555919504437	0.227284582318325	0.26332938423869	0.246830113938548	-21.1376757580366	0.109243602390464	0.264623252146115	5.91989293524207	14.9996287216394	0.0969442013418081
"23"	22	-737.230858097031	-768.129769110555	-737.230858097031	-30.8989110135238	-737.230858097031	14.9996287216394	0.12704270481172	1.59286518570378	0.414947645387205	2.68366702442282	5.69671451304588	0.260418137838795	0.227284582318325	0.26332938423869	0.24896789560419	-20.1549392809363	0.0971235582631906	0.363570099963541	5.91989293524207	14.9996287216394	0.116814021083803
