"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file66a54de85737"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"43"	42	-5071.89061558693	-5119.15454269382	-5071.89061558693	-47.2639271068903	-5071.89061558693	14.9966421238378	-47.6150776921833	0.151539036584974	0.955814555269199	0.351150585292986	14.9966421238378	2.28279656042547
"44"	43	-5052.51157465528	-5093.38690717369	-5052.51157465528	-40.8753325184111	-5052.51157465528	14.9966421238378	-41.2264831037041	0.100885444046893	0.962986577760044	0.351150585292986	14.9966421238378	1.44929943608248
"45"	44	-4974.81277024013	-5027.8448276469	-4974.81277024013	-53.0320574067696	-4974.81277024013	14.9966421238378	-53.3832079920626	0.168879068760164	0.928595894589231	0.351150585292986	14.9966421238378	0.977585578030202
"46"	45	-4921.92772647112	-4981.12086237497	-4921.92772647112	-59.1931359038576	-4921.92772647112	14.9966421238378	-59.5442864891506	0.0481431339281002	0.964931306674607	0.351150585292986	14.9966421238378	0.79505473807896
"47"	46	-4917.08707665431	-4973.59773068645	-4917.08707665431	-56.5106540321413	-4917.08707665431	14.9966421238378	-56.8618046174343	0.0934288680622854	0.927044965400964	0.351150585292986	14.9966421238378	0.599570676437184
"48"	47	-4856.91303732991	-4913.43316372543	-4856.91303732991	-56.520126395524	-4856.91303732991	14.9966421238378	-56.871276980817	0.0934696316387116	0.929416710864101	0.351150585292986	14.9966421238378	0.595183325006803
"49"	48	-4802.34667514004	-4865.78897051642	-4802.34667514004	-63.4422953763748	-4802.34667514004	14.9966421238378	-63.7934459616678	0.0841398157831386	0.925313586972193	0.351150585292986	14.9966421238378	0.559790330930522
"50"	49	-4801.48811190053	-4871.03426320392	-4801.48811190053	-69.5461513033891	-4801.48811190053	14.9966421238378	-69.8973018886821	0.0790638662783035	0.933438221877467	0.351150585292986	14.9966421238378	0.448835581535762
"51"	50	-4793.00278103458	-4854.43241016659	-4793.00278103458	-61.4296291320129	-4793.00278103458	14.9966421238378	-61.7807797173059	0.111801300595617	0.925787488753431	0.351150585292986	14.9966421238378	0.503339601841454
"52"	51	-4776.84591212084	-4829.26098460506	-4776.84591212084	-52.4150724842124	-4776.84591212084	14.9966421238378	-52.7662230695054	0.103139108339085	0.921693727535946	0.351150585292986	14.9966421238378	0.550034075204979
"53"	52	-4766.98700904906	-4820.19859575533	-4766.98700904906	-53.2115867062637	-4766.98700904906	14.9966421238378	-53.5627372915567	0.0694247419063081	0.954211606716222	0.351150585292986	14.9966421238378	0.674909693030899
"54"	53	-4722.89678017186	-4779.87839898875	-4722.89678017186	-56.9816188168956	-4722.89678017186	14.9966421238378	-57.3327694021886	0.0790770692363358	0.959719146708223	0.351150585292986	14.9966421238378	0.523381674216669
"55"	54	-4704.20287689734	-4752.12469286746	-4704.20287689734	-47.9218159701237	-4704.20287689734	14.9966421238378	-48.2729665554167	0.110026866132279	0.931995387161045	0.351150585292986	14.9966421238378	0.66556366220488
"56"	55	-4697.7641444725	-4761.61214361301	-4697.7641444725	-63.8479991405096	-4697.7641444725	14.9966421238378	-64.1991497258026	0.0787189379050995	0.948077215115927	0.351150585292986	14.9966421238378	0.665283196812633
